name,mid_yield,bid_yield,ask_yield,issue_size,rating,ticker,g_spread,liquidity,volatility,maturity,duration,bidask_spread
EK735019 Corp,0.8815879534565366,0.203,0.138,4300000000.0,AAA,IBRD,11.21638,97.0,0.2236790657043457,0.8815879534565366,0.8709991699548177,0.065
EK744701 Corp,0.9034907597535934,0.195,0.12,3475000000.0,AAA,ASIA,9.702891,98.0,0.21487222611904144,0.9034907597535934,0.8926175164477416,0.07500000000000001
BH800056 Corp,4.076659822039699,0.714,0.688,8000000000.0,AAA,IBRD,8.064325,99.0,1.4471960067749023,4.076659822039699,4.019213903680359,0.026000000000000023
EK740464 Corp,0.8870636550308009,0.228,0.15,3500000000.0,AA,CADES,12.86711,97.0,0.251773864030838,0.8870636550308009,0.8759477161683761,0.07800000000000001
BJ819230 Corp,4.210814510609172,0.836,0.795,2500000000.0,AAA,CADEPO,15.69829,94.0,1.5887727737426758,4.210814510609172,4.130845038280891,0.040999999999999925
EK535315 Corp,3.5592060232717317,0.55,0.533,1000000000.0,AAA,EIB,6.478352,98.0,1.0863770246505737,3.5592060232717317,3.394442245360468,0.017000000000000015
BJ926997 Corp,4.306639288158795,0.865,0.84,4000000000.0,AAA,IADB,16.97199,99.0,2.2226078510284424,4.306639288158795,4.2495332324690045,0.025000000000000022
BG517448 Corp,3.9616700889801506,0.677,0.652,3500000000.0,AAA,IBRD,7.448406,99.0,1.4870824813842773,3.9616700889801506,3.9093053845885413,0.025000000000000022
ZO460519 Corp,2.4750171115674195,0.565,0.525,650000000.0,A,BNS,30.74181,71.0,0.8742969632148743,2.4750171115674195,2.458548438453012,0.039999999999999925
BJ878734 Corp,4.213552361396304,1.293,1.254,1000000000.0,A,BNS,60.89758,73.0,2.4292821884155273,4.213552361396304,4.096683740136117,0.038999999999999924
BM045229 Corp,4.594113620807666,0.886,0.865,6000000000.0,AAA,IBRD,11.30486,100.0,2.3010079860687256,4.594113620807666,4.535274469482123,0.02100000000000002
BH841270 Corp,4.334017796030117,0.831,0.805,3000000000.0,AAA,EIB,12.71217,99.0,2.1971287727355957,4.334017796030117,4.277365441844747,0.025999999999999912
BJ731253 Corp,4.191649555099247,1.139,1.073,1000000000.0,AA-,KDB,46.72499,76.0,1.86212158203125,4.191649555099247,4.079124812963344,0.06600000000000006
BJ808596 Corp,2.4750171115674195,0.319,0.289,5000000000.0,AAA,EIB,6.695487,100.0,0.6855927109718323,2.4750171115674195,2.4659828254399385,0.030000000000000027
BK546321 Corp,4.328542094455853,0.894,0.854,3250000000.0,AA-,Q,18.43305,98.0,2.103489637374878,4.328542094455853,4.2739046422318,0.040000000000000036
EK461246 Corp,0.5585215605749486,0.181,0.127,3000000000.0,AAA,EIB,11.81036,98.0,0.1729041039943695,0.5585215605749486,0.5503499068454321,0.05399999999999999
ZO393328 Corp,4.725530458590007,0.915,0.895,4000000000.0,AAA,EIB,10.73686,100.0,2.422206163406372,4.725530458590007,4.679624042969202,0.020000000000000018
ZR239103 Corp,3.4277891854893907,0.522,0.494,3500000000.0,AAA,IBRD,6.523162,99.0,0.9960689544677734,3.4277891854893907,3.349380056211034,0.028000000000000025
AM127888 Corp,2.830937713894593,0.415,0.374,1800000000.0,AAA,RENTEN,9.828174,97.0,0.8145148754119873,2.830937713894593,2.760848473471214,0.04099999999999998
BI004761 Corp,4.095824777549623,0.709,0.672,4500000000.0,AAA,ASIA,6.672045,98.0,1.5142865180969238,4.095824777549623,4.038674676382404,0.03699999999999992
AX312641 Corp,0.8952772073921971,0.187,0.149,5000000000.0,AAA,KFW,10.89217,99.0,0.23928368091583252,0.8952772073921971,0.8827864763855402,0.038000000000000006
AM696757 Corp,0.9500342231348392,0.252,0.174,1500000000.0,AA-,BNS,14.81782,58.0,0.3637206554412842,0.9500342231348392,0.9434207923452146,0.07800000000000001
BK589715 Corp,4.342231348391513,0.846,0.821,5000000000.0,AAA,IBRD,14.09479,99.0,2.2300009727478027,4.342231348391513,4.307693169974758,0.025000000000000022
BH912857 Corp,2.16290212183436,0.254,0.233,4250000000.0,AAA,IADB,5.249322,98.0,0.7112793922424316,2.16290212183436,2.1514985235640296,0.02099999999999999
ZP297264 Corp,3.969883641341547,0.679,0.662,4000000000.0,AAA,EIB,7.826754,99.0,1.3655873537063599,3.969883641341547,3.860912319789859,0.017000000000000015
AZ789585 Corp,5.3579739904175225,1.505,1.464,1250000000.0,A,BNS,52.35383,76.0,2.943554401397705,5.3579739904175225,5.016745507293351,0.040999999999999925
ZS790951 Corp,2.1820670773442847,0.349,0.312,1000000000.0,AA+,NRWBK,14.13769,95.0,0.6546852588653564,2.1820670773442847,2.116990728073408,0.03699999999999998
BK296472 Corp,2.291581108829569,0.325,0.275,2100000000.0,AAA,EBRD,9.164441,97.0,0.6482855081558228,2.291581108829569,2.2854276437861993,0.04999999999999999
BJ421717 Corp,4.1505817932922655,0.708,0.667,2365000000.0,NR,EBRD,4.180841,97.0,1.6535961627960205,4.1505817932922655,4.105138375308183,0.040999999999999925
AM076416 Corp,0.9500342231348392,0.185,0.152,5000000000.0,AAA,KFW,10.71409,99.0,0.2154725193977356,0.9500342231348392,0.9447938596791257,0.033
AT523053 Corp,2.3901437371663246,0.313,0.284,4000000000.0,NR,EIB,7.557832,100.0,0.6626085638999939,2.3901437371663246,2.321548870403467,0.029000000000000026
JK762391 Corp,5.070499657768652,1.058,1.009,2000000000.0,AA-,Q,16.8888,96.0,2.558692216873169,5.070499657768652,4.757118553555708,0.049000000000000155
ZP334402 Corp,1.8562628336755647,0.44,0.382,1000000000.0,A,BNS,26.78176,66.0,0.5811240077018738,1.8562628336755647,1.8217168361913436,0.057999999999999996
AX106418 Corp,2.8829568788501025,0.771,0.715,1250000000.0,A,BNS,43.72477,70.0,1.1065013408660889,2.8829568788501025,2.760599217922121,0.05600000000000005
ZQ454739 Corp,3.6386036960985626,0.668,0.632,2250000000.0,AA-,ALTA,14.96263,94.0,1.1587213277816772,3.6386036960985626,3.509343084499205,0.03600000000000003
EK039086 Corp,2.847364818617385,0.378,0.365,4500000000.0,AAA,EIB,7.77211,100.0,0.7863407731056213,2.847364818617385,2.732689710068858,0.013000000000000012
EK870708 Corp,4.1040383299110195,0.705,0.682,3000000000.0,AAA,KFW,6.365824,99.0,1.4714992046356201,4.1040383299110195,3.9345643343119994,0.02299999999999991
ZR743871 Corp,3.5208761122518824,0.582,0.509,500000000.0,AA-,KDB,8.950961,85.0,0.8571555614471436,3.5208761122518824,3.3777973976443185,0.07299999999999995
AV244275 Corp,2.6036960985626285,0.451,0.381,2250000000.0,AA-,ALTA,15.80493,97.0,0.7566031813621521,2.6036960985626285,2.4850344427130677,0.07
AU503633 Corp,2.48870636550308,0.349,0.306,2000000000.0,AAA,AFDB,8.83781,97.0,0.6904762983322144,2.48870636550308,2.416019192412067,0.04299999999999998
ZR716500 Corp,3.509924709103354,0.57,0.535,1250000000.0,AA+,BRCOL,8.321111,94.0,1.1730855703353882,3.509924709103354,3.389554898069836,0.03499999999999992
ZO480131 Corp,4.498288843258043,0.937,0.895,4000000000.0,AA,CADES,17.93865,98.0,2.282721757888794,4.498288843258043,4.460392679707325,0.04200000000000004
BM011762 Corp,2.5900068446269677,0.481,0.411,500000000.0,AA-,KDB,20.0724,70.0,0.34985196590423584,2.5900068446269677,2.570265960696166,0.07
AM447320 Corp,0.8980150581793293,0.2,0.122,3750000000.0,AAA,ASIA,10.23249,97.0,0.2361452430486679,0.8980150581793293,0.8867609403090004,0.07800000000000001
BJ298519 Corp,4.136892539356605,0.797,0.763,1250000000.0,AA+,SEK,13.29643,93.0,1.674483299255371,4.136892539356605,4.08020200649758,0.03400000000000003
BH797785 Corp,2.099931553730322,0.5,0.461,1250000000.0,A,BNS,30.32178,76.0,0.6104023456573486,2.099931553730322,2.0606870683164926,0.03899999999999998
ZP866478 Corp,3.885010266940452,0.708,0.676,2500000000.0,AA-,Q,12.61554,98.0,1.4042296409606934,3.885010266940452,3.7770646373340946,0.03199999999999992
AM599171 Corp,0.9281314168377823,0.435,0.33,500000000.0,AA-,KDB,32.10775,61.0,0.18448932468891144,0.9281314168377823,0.9158157217251129,0.10499999999999998
BM011763 Corp,5.089664613278576,1.206,1.149,500000000.0,AA-,KDB,29.97075,77.0,2.240842819213867,5.089664613278576,4.979231047579615,0.05699999999999994
AP609974 Corp,1.5824777549623545,0.22,0.172,1000000000.0,AAA,IFC,7.661253,96.0,0.34360697865486145,1.5824777549623545,1.5516459688068467,0.048000000000000015
EK732017 Corp,3.8822724161533197,0.656,0.636,3000000000.0,AAA,EIB,7.885448,99.0,1.420492172241211,3.8822724161533197,3.7510220176076197,0.020000000000000018
BH344030 Corp,2.023271731690623,0.266,0.231,3100000000.0,AAA,AFDB,8.586287,96.0,0.36507222056388855,2.023271731690623,2.003749688686567,0.035
BJ433611 Corp,4.153319644079398,0.835,0.803,2250000000.0,A+,ALTA,17.68672,95.0,1.505211591720581,4.153319644079398,4.064695806011853,0.03199999999999992
BK404195 Corp,4.314852840520191,0.833,0.808,5000000000.0,AAA,KFW,13.40631,99.0,2.178934097290039,4.314852840520191,4.279928152473601,0.02499999999999991
ZP379213 Corp,3.969883641341547,0.682,0.651,3000000000.0,AAA,IADB,7.263066,99.0,1.5355478525161743,3.969883641341547,3.8531280975732014,0.031000000000000028
JV233302 Corp,4.728268309377139,1.524,1.459,1250000000.0,BBB+,BNS,68.19892,60.0,3.2419772148132324,4.728268309377139,4.294493946103255,0.06499999999999995
ZP327532 Corp,3.811088295687885,0.701,0.66,2000000000.0,AAA,NEDWBK,13.13436,93.0,1.4025037288665771,3.811088295687885,3.6892003417019885,0.040999999999999925
ZP334405 Corp,3.863107460643395,1.207,1.161,1250000000.0,A,BNS,61.97231,74.0,2.0854008197784424,3.863107460643395,3.7100134251374572,0.04600000000000004
BJ572389 Corp,4.172484599589322,0.753,0.725,2000000000.0,AAA,RENTEN,9.192963,97.0,1.5607359409332275,4.172484599589322,4.127296153721923,0.028000000000000025
LW223713 Corp,5.188227241615332,1.097,1.067,750000000.0,AA+,BRCOL,16.69061,92.0,3.148820638656616,5.188227241615332,4.901051648056535,0.030000000000000027
EK851739 Corp,2.0616016427104724,0.285,0.272,2500000000.0,AAA,RENTEN,10.76466,98.0,0.4783061742782593,2.0616016427104724,2.007619057403895,0.012999999999999956
ZP320936 Corp,3.811088295687885,0.636,0.607,3500000000.0,AAA,IBRD,7.418209,99.0,1.3903266191482544,3.811088295687885,3.697150506487984,0.029000000000000026
AM186927 Corp,0.840520191649555,0.207,0.138,5000000000.0,NR,IBRD,11.63928,98.0,0.24606436491012573,0.840520191649555,0.8312051067115918,0.06899999999999998
ZP334800 Corp,0.8076659822039699,0.281,0.219,1400000000.0,AA+,SEK,19.83141,94.0,0.16729506850242615,0.8076659822039699,0.7987753843758983,0.06200000000000003
AQ664478 Corp,1.9712525667351128,0.242,0.218,5000000000.0,AAA,EIB,6.179559,99.0,0.4519509971141815,1.9712525667351128,1.936416142597935,0.023999999999999994
BK438255 Corp,4.309377138945927,0.861,0.828,2000000000.0,AAA,IFC,15.84212,99.0,2.0711824893951416,4.309377138945927,4.274349772414003,0.03300000000000003
ZP458734 Corp,1.894592744695414,0.238,0.208,5000000000.0,AAA,KFW,7.824449,99.0,0.351528525352478,1.894592744695414,1.8652214850972428,0.03
AZ659736 Corp,1.8179329226557153,0.49,0.404,500000000.0,A,BNS,30.71243,65.0,0.4528769254684448,1.8179329226557153,1.7797079710086994,0.08599999999999997
JK696785 Corp,5.0513347022587265,0.984,0.957,1500000000.0,AAA,EIB,8.447754,99.0,2.289642095565796,5.0513347022587265,4.7800535476731,0.027000000000000024
BG074284 Corp,1.919233401779603,0.244,0.211,2000000000.0,AAA,EDC,8.086715,92.0,0.5055640935897827,1.919233401779603,1.8937637974170243,0.033
EK124779 Corp,2.9869952087611225,0.468,0.418,3000000000.0,AA,CADES,11.44852,98.0,0.8922790288925171,2.9869952087611225,2.8702817899911377,0.050000000000000044
EK265953 Corp,3.143052703627652,0.554,0.509,1250000000.0,A+,ONT,16.68093,96.0,1.0277200937271118,3.143052703627652,2.9889681069280822,0.04500000000000004
AZ659737 Corp,3.3292265571526354,0.549,0.515,2000000000.0,AA+,LBANK,11.90512,93.0,0.9880210161209106,3.3292265571526354,3.215351526576937,0.03400000000000003
AS258655 Corp,4.219028062970568,0.729,0.718,1500000000.0,AAA,EIB,5.347172,97.0,1.5764756202697754,4.219028062970568,3.983141254777653,0.01100000000000001
JV534160 Corp,4.804928131416838,1.177,1.117,1000000000.0,AA-,KDB,34.46965,80.0,2.029325246810913,4.804928131416838,4.496719442315728,0.06000000000000005
EJ507515 Corp,1.8151950718685832,0.221,0.21,4000000000.0,AAA,KFW,7.705248,99.0,0.43920525908470154,1.8151950718685832,1.7804616940118685,0.01100000000000001
AZ660628 Corp,5.327857631759069,1.066,1.052,1500000000.0,AAA,IADB,10.7062,98.0,2.5788846015930176,5.327857631759069,5.071367919129872,0.014000000000000012
JK856834 Corp,5.089664613278576,1.127,1.092,1000000000.0,A+,ONT,21.61097,98.0,2.7943992614746094,5.089664613278576,4.7758044948231415,0.03499999999999992
AW877781 Corp,0.8542094455852156,0.248,0.201,1500000000.0,AA+,OKB,16.46727,98.0,0.2330157607793808,0.8542094455852156,0.8408207546534101,0.046999999999999986
EK750986 Corp,0.917180013689254,0.211,0.137,1000000000.0,NR,EBRD,11.24426,91.0,0.19301097095012665,0.917180013689254,0.9065060372619084,0.07399999999999998
EK737497 Corp,0.8870636550308009,0.217,0.169,3500000000.0,AA,CADES,13.33059,97.0,0.17434170842170715,0.8870636550308009,0.8759476393038645,0.04799999999999999
ZR347930 Corp,1.4510609171800137,0.205,0.17,3000000000.0,AAA,EIB,8.086361,99.0,0.25722944736480713,1.4510609171800137,1.4371027046849394,0.034999999999999976
EK600559 Corp,3.6577686516084875,0.585,0.561,5000000000.0,AAA,KFW,6.731378,99.0,1.1773015260696411,3.6577686516084875,3.491544249982769,0.02399999999999991
EK076245 Corp,2.9103353867214237,0.409,0.383,3450000000.0,AAA,IADB,8.743144,99.0,0.831940770149231,2.9103353867214237,2.801639704096994,0.025999999999999968
AX417633 Corp,0.9500342231348392,0.266,0.245,2000000000.0,AAA,CADEPO,18.92868,92.0,0.21573606133460999,0.9500342231348392,0.9433008021586187,0.02100000000000002
ZP845257 Corp,2.138261464750171,0.257,0.229,3000000000.0,AAA,EIB,6.150977,99.0,0.4975251257419586,2.138261464750171,2.1055383823179152,0.027999999999999997
ZR348445 Corp,3.3648186173853527,0.498,0.484,3000000000.0,AAA,KFW,6.526356,98.0,1.0103285312652588,3.3648186173853527,3.2915267183877046,0.014000000000000012
BG740687 Corp,1.9849418206707734,0.337,0.301,1000000000.0,AAA,IFC,18.01071,84.0,0.7238976955413818,1.9849418206707734,1.9786579397714263,0.03600000000000003
BH402538 Corp,4.024640657084189,0.693,0.67,2000000000.0,AAA,IADB,7.511312,98.0,1.4114799499511719,4.024640657084189,3.945020573445561,0.02299999999999991
EI871954 Corp,0.6461327857631759,0.422,0.301,750000000.0,AA-,KDB,32.44741,61.0,0.3048907220363617,0.6461327857631759,0.6305967328533331,0.121
AQ324275 Corp,0.7200547570157426,0.198,0.031,1000000000.0,AAA,IBRD,6.578853,94.0,0.21404512226581573,0.7200547570157426,0.7114619664951412,0.167
ZQ051895 Corp,1.6427104722792607,0.428,0.332,1000000000.0,A,BNS,25.7803,74.0,0.5454333424568176,1.6427104722792607,1.609918734706997,0.09599999999999997
AW711129 Corp,2.830937713894593,0.501,0.463,1750000000.0,A+,ALTA,19.17595,98.0,0.8481464385986328,2.830937713894593,2.725300072044814,0.03799999999999998
EJ545866 Corp,1.88911704312115,0.345,0.311,1250000000.0,AA-,Q,18.36133,95.0,0.5444561243057251,1.88911704312115,1.8457852412480862,0.033999999999999975
AX419378 Corp,0.9500342231348392,0.261,0.21,2000000000.0,AAA,CADEPO,18.14784,92.0,0.24339067935943604,0.9500342231348392,0.9433014685011827,0.05100000000000002
LW223775 Corp,5.188227241615332,1.052,1.014,2250000000.0,AAA,IADB,11.4787,98.0,2.428877353668213,5.188227241615332,4.929919624518202,0.038000000000000034
BH455816 Corp,1.0349075975359343,0.205,0.162,4500000000.0,AAA,ASIA,11.30515,98.0,0.1856781244277954,1.0349075975359343,1.0286823647736738,0.04299999999999998
ZP988502 Corp,3.9041752224503763,1.135,1.066,750000000.0,AA-,KDB,53.93972,77.0,1.7124344110488892,3.9041752224503763,3.77969744044222,0.06899999999999995
AM358861 Corp,0.8761122518822724,0.263,0.202,2500000000.0,A+,ONT,17.54014,96.0,0.2137766182422638,0.8761122518822724,0.8635785421548651,0.061
EK685342 Corp,3.811088295687885,0.637,0.61,3400000000.0,AAA,IADB,7.47865,99.0,1.3772162199020386,3.811088295687885,3.666428553970324,0.027000000000000024
ZO599812 Corp,2.513347022587269,0.39,0.357,1250000000.0,AA+,SEK,12.81822,93.0,0.7367838025093079,2.513347022587269,2.501742361231112,0.03300000000000003
TT313433 Corp,1.8206707734428473,0.244,0.202,1250000000.0,AAA,IBRD,8.086598,94.0,0.5998559594154358,1.8206707734428473,1.7172003903362123,0.04199999999999998
JK837637 Corp,5.08145106091718,0.995,0.962,1000000000.0,AAA,ASIA,8.678719,95.0,2.429107904434204,5.08145106091718,4.824816784611599,0.03300000000000003
AW584274 Corp,2.811772758384668,0.397,0.363,4000000000.0,AAA,IADB,8.652174,99.0,0.7934116721153259,2.811772758384668,2.7164796119552013,0.03400000000000003
AU605194 Corp,2.507871321013005,0.34,0.298,4000000000.0,AAA,IBRD,7.571814,99.0,0.6480429172515869,2.507871321013005,2.401778706537647,0.04200000000000004
AW780349 Corp,2.847364818617385,0.484,0.441,2500000000.0,A+,ONT,16.41248,98.0,0.9157171249389648,2.847364818617385,2.7388217922332845,0.04299999999999998
AU370360 Corp,0.7255304585900069,0.169,0.135,3000000000.0,NR,EIB,10.27422,97.0,0.25534847378730774,0.7255304585900069,0.7152307229591676,0.034
AX183505 Corp,2.9048596851471595,0.547,0.461,500000000.0,AA-,KDB,20.64431,85.0,0.672258734703064,2.9048596851471595,2.7879902957368765,0.08600000000000002
ZS521230 Corp,3.249828884325804,0.473,0.45,3000000000.0,AAA,EIB,6.678927,99.0,0.9774284362792969,3.249828884325804,3.1366796171720503,0.022999999999999965
EK847160 Corp,1.054072553045859,0.2,0.137,3100000000.0,AAA,IADB,9.544692,98.0,0.2818102240562439,1.054072553045859,1.0399712321107177,0.063
EJ406717 Corp,1.5797399041752225,0.261,0.208,1250000000.0,AA+,BRCOL,11.65357,90.0,0.3276333808898926,1.5797399041752225,1.5488555855559,0.05300000000000002
ZO037507 Corp,4.421629021218344,0.976,0.943,1000000000.0,AA+,SEK,24.077,96.0,2.0672667026519775,4.421629021218344,4.374242147772427,0.03300000000000003
ZO140062 Corp,2.642026009582478,0.353,0.327,2500000000.0,AAA,IADB,7.524108,98.0,0.6775951385498047,2.642026009582478,2.628262668435383,0.025999999999999968
AZ139190 Corp,5.223819301848049,1.158,1.121,1750000000.0,A+,ONT,21.39013,98.0,2.7900218963623047,5.223819301848049,4.931024280252002,0.03699999999999992
ZR995166 Corp,3.561943874058864,0.556,0.537,2000000000.0,AAA,IFC,6.638996,97.0,1.2374167442321777,3.561943874058864,3.4658941249884254,0.019000000000000017
AW541713 Corp,2.973305954825462,0.407,0.385,4000000000.0,AAA,EIB,7.709121,99.0,0.8690483570098877,2.973305954825462,2.880342633515397,0.021999999999999964
ZO494377 Corp,2.568104038329911,0.333,0.312,4000000000.0,AAA,KFW,7.102935,99.0,0.7585003972053528,2.568104038329911,2.556856739892686,0.02100000000000002
ZR706032 Corp,3.509924709103354,0.552,0.534,1150000000.0,NR,EBRD,7.678452,96.0,1.1117664575576782,3.509924709103354,3.3973547342994923,0.018000000000000016
ZS763064 Corp,1.267624914442163,0.206,0.17,4000000000.0,AAA,IBRD,9.6804,99.0,0.26954519748687744,1.267624914442163,1.2511982398231003,0.035999999999999976
ZO140183 Corp,4.4435318275154,0.888,0.85,3000000000.0,AAA,ASIA,14.86589,99.0,2.307290554046631,4.4435318275154,4.4048817633820585,0.038000000000000034
